dispnum,ord_incidnum,stabb,ccode,stday,stmon,styear,endday,endmon,endyear,insidea,sidea,fatality,fatalpre,action,hostlev,revtype1,revtype2,version,incidnum
3552,3552023,IRQ,645,22,1,1993,22,1,1993,0,0,-9,-9,0,1,0,0,5,3552023
3552,3552023,USA,2,22,1,1993,22,1,1993,1,1,0,0,16,4,2,0,5,3552023
3552,3552024,IRQ,645,23,1,1993,23,1,1993,1,0,-9,-9,17,4,2,0,5,3552024
3552,3552024,USA,2,23,1,1993,23,1,1993,0,1,0,0,17,4,2,0,5,3552024
3552,3552025,IRQ,645,9,4,1993,9,4,1993,1,0,-9,-9,17,4,2,0,5,3552025
3552,3552025,USA,2,9,4,1993,9,4,1993,0,1,0,0,17,4,2,0,5,3552025
3552,3552026,IRQ,645,18,4,1993,18,4,1993,0,0,-9,-9,0,1,0,0,5,3552026
3552,3552026,USA,2,18,4,1993,18,4,1993,1,1,0,0,16,4,2,0,5,3552026
3552,3552027,IRQ,645,19,4,1993,19,4,1993,0,0,-9,-9,0,1,0,0,5,3552027
3552,3552027,USA,2,19,4,1993,19,4,1993,1,1,0,0,16,4,2,0,5,3552027
3552,3552028,IRQ,645,29,6,1993,29,6,1993,0,0,0,0,0,1,0,0,5,3552028
3552,3552028,USA,2,29,6,1993,29,6,1993,1,1,0,0,7,3,2,3,5,3552028
3552,3552029,IRQ,645,29,6,1993,29,6,1993,0,0,-9,-9,0,1,0,0,5,3552029
3552,3552029,USA,2,29,6,1993,29,6,1993,1,1,0,0,16,4,2,0,5,3552029
3552,3552030,IRQ,645,1,7,1993,4,7,1993,1,0,0,0,16,4,2,0,5,3552030
3552,3552030,SAU,670,1,7,1993,4,7,1993,0,1,0,0,0,1,0,0,5,3552030
3552,3552031,IRQ,645,24,7,1993,24,7,1993,0,0,-9,-9,0,1,0,0,5,3552031
3552,3552031,USA,2,24,7,1993,24,7,1993,1,1,0,0,16,4,2,0,5,3552031
3552,3552032,IRQ,645,19,8,1993,19,8,1993,1,0,-9,-9,17,4,2,0,5,3552032
3552,3552032,USA,2,19,8,1993,19,8,1993,0,1,0,0,17,4,2,0,5,3552032
3552,3552033,IRQ,645,23,12,1993,23,12,1993,1,0,0,0,17,4,2,0,5,3552033
3552,3552033,USA,2,23,12,1993,23,12,1993,0,1,0,0,17,4,2,0,5,3552033
3555,3555001,CRO,344,20,1,1992,20,1,1992,1,1,1,-9,17,4,1,0,5,3555001
3555,3555001,YUG,345,20,1,1992,20,1,1992,0,0,1,-9,17,4,1,0,5,3555001
3555,3555002,CRO,344,23,1,1992,23,1,1992,0,1,2,0,0,1,0,0,5,3555002
3555,3555002,YUG,345,23,1,1992,23,1,1992,1,0,2,0,12,3,1,0,5,3555002
3555,3555003,CRO,344,25,2,1992,29,2,1992,0,1,3,-9,17,4,1,0,5,3555003
3555,3555003,YUG,345,25,2,1992,29,2,1992,1,0,3,-9,17,4,1,0,5,3555003
3555,3555004,CRO,344,6,3,1992,8,4,1992,0,1,4,-9,17,4,1,0,5,3555004
3555,3555004,YUG,345,6,3,1992,8,4,1992,1,0,4,-9,17,4,1,0,5,3555004
3555,3555005,CRO,344,11,4,1992,11,4,1992,0,1,4,350,17,4,1,0,5,3555005
3555,3555005,YUG,345,11,4,1992,11,4,1992,1,0,-9,-9,17,4,1,0,5,3555005
3555,3555006,CRO,344,21,4,1992,21,4,1992,0,1,1,1,0,1,0,0,5,3555006
3555,3555006,YUG,345,21,4,1992,21,4,1992,1,0,0,0,16,4,1,0,5,3555006
3555,3555007,CRO,344,23,4,1992,23,4,1992,1,1,0,0,17,4,1,0,5,3555007
3555,3555007,YUG,345,23,4,1992,23,4,1992,0,0,-9,-9,17,4,1,0,5,3555007
3555,3555008,CRO,344,24,4,1992,24,4,1992,0,1,-9,-9,17,4,1,0,5,3555008
3555,3555008,YUG,345,24,4,1992,24,4,1992,1,0,2,-9,17,4,1,0,5,3555008
3555,3555009,CRO,344,10,7,1992,10,7,1992,1,1,0,0,11,3,1,0,5,3555009
3555,3555009,YUG,345,10,7,1992,10,7,1992,0,0,0,0,0,1,0,0,5,3555009
3556,3556001,BOS,346,20,10,1992,28,10,1992,0,0,3,-9,17,4,1,0,5,3556001
3556,3556001,CRO,344,20,10,1992,28,10,1992,1,1,3,-9,17,4,1,0,5,3556001
3556,3556002,BOS,346,26,10,1992,26,10,1992,1,0,0,0,11,3,1,2,5,3556002
3556,3556002,CRO,344,26,10,1992,26,10,1992,0,1,0,0,0,1,0,0,5,3556002
3557,3557001,BOS,346,6,4,1992,6,4,1992,0,0,0,0,0,1,0,0,5,3557001
3557,3557001,YUG,345,6,4,1992,6,4,1992,1,1,0,0,7,3,2,0,5,3557001
3557,3557002,BOS,346,14,4,1992,14,4,1992,0,0,-9,-9,17,4,1,0,5,3557002
3557,3557002,YUG,345,14,4,1992,14,4,1992,1,1,-9,-9,17,4,1,0,5,3557002
3557,3557003,BOS,346,20,4,1992,22,4,1992,0,0,-9,-9,17,4,1,0,5,3557003
3557,3557003,YUG,345,20,4,1992,22,4,1992,1,1,-9,-9,17,4,1,0,5,3557003
3557,3557004,BOS,346,2,5,1992,2,5,1992,0,0,-9,-9,17,4,1,0,5,3557004
3557,3557004,YUG,345,2,5,1992,2,5,1992,1,1,-9,-9,17,4,1,0,5,3557004
3557,3557005,BOS,346,8,5,1992,8,5,1992,0,0,0,0,0,1,0,0,5,3557005
3557,3557005,YUG,345,8,5,1992,8,5,1992,1,1,0,0,16,4,1,0,5,3557005
3557,3557006,BOS,346,11,5,1992,11,5,1992,1,0,-9,-9,17,4,1,0,5,3557006
3557,3557006,YUG,345,11,5,1992,11,5,1992,0,1,-9,-9,17,4,1,0,5,3557006
